SeniorCitizen,tenure,MonthlyCharges,TotalCharges,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
-0.047316134,-1.7849888,-0.110733494,-0.31254473,0.07995166,-0.0060853446,-0.23921308,-0.010475099,0.0,0.11695248,0.13159756,0.0336632,0.0,-0.42737615,0.0,-0.1344893,0.0,-0.006746866,0.0,0.03123075,0.0,0.10774152,0.0,0.055151407,0.07461275,-1.984042,0.057809863,-0.29961196,-0.13163936,0.036911532
0.12553151,0.566194,0.4279996,0.02594291,0.023873718,0.0029430257,0.041512825,-0.019043999,0.0,0.19997914,0.34511715,0.09326469,0.0,0.060618393,0.0,0.07807408,0.0,-0.00068641023,0.0,-0.28170243,0.0,0.13250439,0.0,0.08420014,0.19488537,0.35912836,0.09838691,-0.05313502,-0.14009601,-0.0051333527
-0.03542164,-0.31038636,0.095386766,0.17532957,0.012525997,0.011429454,-0.096221045,-0.04869437,0.0,0.013205924,-0.2939546,0.05025253,0.0,-0.19097519,0.0,-0.060953867,0.0,0.0060299747,0.0,0.051124845,0.0,0.028398506,0.0,-0.25829214,-0.7482691,0.20993662,0.08402509,0.08889376,-0.19328034,0.015511884
-0.030007975,-0.099708036,0.023188667,-0.23084828,-0.054108154,0.017396804,0.011603049,-0.04117084,0.0,-0.11844851,0.2480159,0.07465507,0.0,0.047347654,0.0,0.022291847,0.0,0.0027783234,0.0,-0.27481282,0.0,-0.07202421,0.0,-0.055157878,0.20237717,0.3491866,-0.25037026,0.006924605,0.2832384,0.001582712
-0.05484482,-2.2902172,-0.40595683,-0.014561472,-0.04430638,0.020813247,0.022165576,-0.05344364,0.0,0.18201014,-0.1993239,0.039378628,0.0,-0.6414401,0.0,-0.062158313,0.0,-0.010613991,0.0,0.16249275,0.0,0.09421313,0.0,0.06886038,0.06952159,-1.6457627,0.097546235,-0.1836101,-0.23113668,0.037816703
-0.025101155,0.03211161,0.44058377,-0.30560273,-0.0024890397,-0.006320296,0.037196472,-0.016109172,0.0,0.14653316,0.28413954,0.08826099,0.0,0.071566224,0.0,-0.067501366,0.0,-0.0013955852,0.0,0.07805168,0.0,0.10263534,0.0,0.111401,0.17658485,0.34145838,0.13243096,-0.12548862,-0.21121415,0.0028114324
-0.027106242,0.032601405,0.38942438,-0.19019581,0.02974265,-0.008002537,0.030490749,-0.012357344,0.0,-0.13220443,0.2808451,0.07509853,0.0,0.031899486,0.0,-0.07503591,0.0,-0.0013955852,0.0,-0.27321377,0.0,0.10186795,0.0,0.094235055,0.15347,0.34531906,0.09256846,0.02088118,-0.195193,0.00037035646
-0.023902094,-0.0302382,-0.24525392,-0.09953569,-0.0023328662,-0.0024151148,-0.1597072,-0.02603768,0.0,0.14483187,-0.43223876,-0.59048826,0.0,0.062073205,0.0,0.09675023,0.0,-0.0013288092,0.0,0.040341835,0.0,-0.07160038,0.0,-0.10209472,0.19285947,0.27773163,0.110632956,-0.03475228,-0.1780739,0.019753234
-0.031748407,-0.34804505,-0.24180296,-0.38792422,-0.0043580723,0.0049999324,-0.054309208,-0.031915247,0.0,-0.08376677,-0.18908437,-0.29286546,0.0,0.023542756,0.0,-0.0046767863,0.0,-0.012302399,0.0,0.012523358,0.0,-0.0643986,0.0,-0.05520002,0.096396066,-1.6610976,-0.14359261,-0.40850326,-0.17813376,0.013250238
0.113109246,-0.031184275,0.05007032,-0.086178854,-0.0040393546,-0.0037206288,0.04028158,-0.05637851,0.0,-0.14574073,-0.3779433,0.10876122,0.0,0.0726906,0.0,0.062705,0.0,-0.0006200222,0.0,0.08599013,0.0,-0.1061522,0.0,-0.07580823,0.17197476,0.29186562,0.106109194,0.006730151,0.3075126,0.012161632
